"Col1","user","description","result","apply_dt","close_dt","update_ts"
"","goodluck","30岁EP，$7500，国内本科； 25岁SP，$4000，国内985/211本科其他国硕士。来新近三年，第二次申请，主申请人航运行业。","等待","2021-11-08","null","2021-11-24 16:28"
"","jack","EP,来新2年，月薪12K","等待","2021-05-03","2021-11-15","2021-11-24 14:53"
"","Kaixinjiuhao","国内本科，快40，基本工资6k+，老婆gloss 2K，小孩6岁，马上一年级，来新7年多，第三次申请了，真心希望能过，能够稳定落脚，感觉条件不是很好，求神拜佛吧","等待","2021-07-03","null","2021-11-24 14:32"
"","someone","女，单身，其他国家硕士，EP，来坡2年，工资7k。
update: 申请9个月后通过","通过","2021-02-22","2021-11-22","2021-11-24 09:22"
"","Will","本地公立diploma, NTU part-time 本科在读最后一学期，工作3年，拿SP. 第一次申请","等待","2021-08-21","null","2021-11-23 18:59"
"","Luffy","来新12年，新加坡中学，poly，澳洲degree.  Semiconductor software engineer","通过","2021-03-19","2021-11-19","2021-11-22 11:20"
"","bryanli","国男，澳洲硕士，新加坡PR, it 销售，月薪1万，帮妻儿申请PR，求好运。","等待","2021-07-07","null","2021-11-20 20:38"
"","快点pass咧","20+ ，马来西亚女生 degree 来新加坡工作2年多 
11月1号button 消失，11月18号在cpf看到ica reference no
20凌晨过了

来还愿","通过","2021-03-28","2021-11-20","2021-11-20 04:28"
"","sima","单身女，49岁，国内本科，来新1年9月，EP月薪10K，首次递交，10月底补家庭成员信息，获批。","通过","2021-03-08","2021-11-16","2021-11-19 10:47"
"","ZLN","男 38岁 国内本科 来新1年 EP 9K+ 家庭申请 妻子和娃现拿DP
娃2岁半没有上幼儿园
杯具了准备离开新加坡了","杯具","2021-07-07","2021-11-15","2021-11-18 22:15"
"","abcxyz","夫妻EP+SP带一两岁女儿申请, 建筑行业，本地私立degree + master。在新有房产。30出头。","通过","2021-03-17","2021-11-15","2021-11-18 09:14"
"","吸欧气","跟楼下情况相似，刚补过材料，希望早日通过","等待","2021-03-01","null","2021-11-17 16:36"
"","希望成功","25 Malaysian 单身女 diploma 来新工作两年多 Senior Accountant 第一次申请 希望成功 保佑保佑","等待","2021-11-02","null","2021-11-17 10:23"
"","ppyyxx","NTU sm2，工作3个月申请，pending 9个月 上传按钮消失，11月16号查到cpf","通过","2021-02-17","2021-11-17","2021-11-16 21:59"
"","cccccc","中国女单身28，ntu master，航空业","杯具","2021-07-01","null","2021-11-16 15:38"
"","Bo","夫妻EP+SP带一K1女儿申请, 双国内985博士毕业，主申请人美国博后、新加坡博后，副申请人美国访学，新加坡博后， 来新工作两年, 信息领域","等待","2021-07-27","null","2021-11-15 17:37"
"","lucky1star","26 malaysian girl 来新工作2年 ss engineer 来集气","等待","2021-11-14","null","2021-11-14 22:07"
"","汤","申请人：男，32岁，持LTVP 1年半年多，来新8年，中国大专，一直从事体育教育，现在幼儿园做教练1年半，薪水5K，每年缴税
Sponsor：老婆公民，结婚2年，工作稳定10年多一间公司，薪水4.5k+，每年缴税，有1套公寓","通过","2021-03-29","2021-11-09","2021-11-14 18:16"
"","巧","本地本科+海外硕士 硕士毕业工作半年申请 公司属于制造业 没有要求补交材料 11.2按钮消失 11.12刷出CPF 11.14网页更新显示Approved 回馈社区","通过","2021-03-27","2021-11-11","2021-11-14 03:24"
"","KAILONG","26岁男 本地degree，来新10年 食品公司 SP 第二次申请","等待","2021-07-01","null","2021-11-13 23:22"
"","Ah Yan","家庭式申请. 孩子DP刚读N1,太太DP全职在家.  夫妻两人都是国内本科毕业. 本人自己在新7年+ EP申请.  工作是搬砖的. 很幸运5个月+通过.  申请期间一直关注这个网站数据  特意过来还愿 给大家也做个参考.","通过","2021-03-01","2021-08-13","2021-11-13 17:07"
"","上班摸鱼","单身男，国内985，NUS博士，VC行业，月薪6k，来新6年","等待","2021-03-06","2021-11-11","2021-11-11 14:34"
"","喵喵喵～","来新八年 本地degree & masters 第一次申请 准准10个月拿到信 祝大家都好运","通过","2021-01-08","2021-11-08","2021-11-11 10:06"
"","Chaelim1","英碩士畢、女41，法商物流公司，來新5年第2次申請，等10個月通過，祝大家都能好運","通过","2021-01-10","2021-11-08","2021-11-10 19:01"
"","DavidDavid","单身男，28岁，国内本科，科技行业，来新2年，首次申请","通过","2021-03-26","2021-08-06","2021-11-10 14:45"
"","求好运求保佑","女25，国内985，NTU master，EP三年半，小公司做BD，fixed salary 6k. 底薪太低感觉很悬，希望好运！","等待","2021-05-04","null","2021-11-10 01:11"
"","MCbro","海外學碩士，40+年紀，來新1年多，全家4人申請，EP 收入月平均28000.  高科技行業，求好運","等待","2021-10-28","2021-11-09","2021-11-09 14:51"
"","希望","来新加坡五年，本地大学本科，金融","等待","2021-10-27","null","2021-11-05 06:09"
"","xpg","24单身 工作七个月申请 建筑行业 Basic2.7k+ 来新十年半 中学diploma 望通过","等待","2021-09-16","null","2021-11-03 01:24"
"","国泰民安","国内渣硕，IT行业工程师，19年中来新。单人申请","通过","2021-04-22","2021-10-07","2021-11-02 14:47"
"","小鹿纯子","家庭申请，男Ep，985硕士，金融行业。女Ep，985本科+国外硕士，大宗商品贸易。孩子MOE学校在读。来坡两年，家庭月收入30000+新币。","等待","2021-10-11","null","2021-10-30 21:36"
"","Dodo","马来西亚人, Degree文凭, Ep, 4.5k, Architecture, 来新加坡工作了1年半（申请的时候）","等待","2021-03-29","null","2021-10-29 16:03"
"","求求","求好运","等待","2021-03-27","null","2021-10-26 17:39"
"","Hh","Diploma，工作一年，单身女生，Nurse
（大约半年）","通过","null","null","2021-10-25 19:57"
"","希望这次一定要拿到呀，好运","国内大专，来新十二年，建筑行业6.8K，带家属申请，在新有房产，这次申请应该是第五次了，希望这次顺利通过","等待","2021-04-25","null","2021-10-25 15:03"
"","遂吟去国行","来新15年SM1博后，工作半年第一次申请，9个月通过，30岁男未婚。父母退休但未补充材料。中间有发信咨询ICA进度。祝愿大家好运！","通过","2021-02-04","2021-10-22","2021-10-23 17:22"
"","Grateful","终于通过了，祝大家好运！","通过","2019-12-05","2021-09-30","2021-10-22 16:36"
"","SG_PR","新加坡第八年，第一次申请 希望能通过。","等待","2021-02-24","null","2021-10-21 16:12"
"","zzzz","EP，30岁，中国未婚男，来新2年+，国内211，新加坡互联网行业，月薪9k+","等待","2021-10-16","null","2021-10-16 21:36"
"","456","EP,  24岁， 中国单身男生，来新2年，本科是985大学计算机专业， 本科毕业之后就来坡工作了，目前在某电商做软件工程师，月薪7K+， 目前也在读一个NUS在职硕士，希望能通过 ~","等待","2021-10-16","null","2021-10-16 18:13"
"","www","台女 单身 来新四年 私立大学毕业 科技业 EP 申请N次 等待1年终于通过","通过","2020-09-19","2021-09-28","2021-10-15 13:23"
"","通过吧","马来西亚30出， 来新11年，刚刚wp换sp申请
家人有新加坡人","等待","2021-08-08","null","2021-10-13 15:00"
"","Yiwensi","没有高学历，只有本地私人学校的高级大专学历和ITE几张文凭，年龄40多，薪水也不高，一带二，多次申请。","通过","2021-01-18","2021-10-04","2021-10-12 23:02"
"","avafoool","2010来新 本地私立diploma+degree 19年刚毕业工作时sp申请被拒 21年本地银行工作再次申请 希望可以通过","等待","2021-09-28","null","2021-10-12 16:29"
"","Cccc","女 单身 来新13年 本地本科 薪水4k+ ，18个月的时候要求补家人资料。中间写了2次信查询情况，都收到官方回复。持续等待持续等待！22个月终于通过了！祝大家好运！","通过","2019-11-22","null","2021-10-11 12:57"
"","sg_someone","来新4年，985本，nus硕，it行业","通过","2021-03-04","2021-10-06","2021-10-10 17:16"
"","好运","男EP 985 带 女DP和2个孩子全家申请 会计","通过","2020-04-06","2021-10-01","2021-10-09 19:24"
"","~","NTU master，在新7年，28岁，已婚一人申请，IT行业EP，等了6个月多求快点出结果给个了断","等待","2021-03-28","null","2021-10-07 20:56"
"","jiayou","来新6年，diploma+degree在私立学校.工作一年，在本地公司Sp薪水3K+.六月申请九月尾收信被拒，10月上诉试试。求保佑。","杯具","2016-10-05","2017-11-23","2021-10-05 15:03"
"","Chal","19岁中国学生在新加坡长大，小学一到现在差不多14年。
目前申请PR。
读ITE HN。
第3次申请。","等待","2021-06-19","null","2021-10-04 12:23"
"",".","夫妻国内985 211，男nus现在读part time master，女欧美master，带5岁女儿和3岁儿子。男主申，2012年来新一直ep，建筑行业，家庭收入11K.历时九年，和同行业同条件的人差不多经历一样的年份拿到。在此贡献数据，感恩，祝大家一切顺利！","通过","2020-07-13","2021-09-28","2021-10-01 02:08"
"","B","夫妻， EP+DP，年收入超过200k，来新两年，老婆怀孕，是男孩，所以想申请试试看","等待","2021-08-23","null","2021-09-30 15:24"
"","Joy","马来西亚， 夫妻， 38， 37 ， 夫 EP,  妻 DP , 两个都是 IT 专业， 双薪水 14k . 期间有被要求 upload payslip 一次。","通过","2020-10-03","2021-09-25","2021-09-27 20:37"
"","abc","国内985本，ntu硕，工作三年，单身","通过","2021-03-17","2021-09-08","2021-09-27 14:40"
"","z z z","在新加坡快六年 和老公（也是EP）一起申请 我是主申请人 PhD EP","等待","2021-02-24","null","2021-09-23 18:07"
"","MuMu","主申请人985本，IT行业薪水7k+，带配偶及1男孩。配偶无业，孩子两岁。在新11年。","通过","2020-11-22","2021-04-26","2021-09-20 11:24"
"","ml","国内双非本，国内工作3年后17年来坡，读NUS-SA，18年毕业后工作EP，19年开始读part-time master（NUS），21年2月毕业，3月申，申请时29岁女未婚，薪水5k+，普通码农","通过","2021-03-24","2021-09-13","2021-09-17 12:36"
"","Xudo","28岁，单身男，中国人来新三年。本科C9, 研究生在美国。金融行业。月薪8k. 四个多月后收到approval. 回来还愿，希望大家有好运","通过","2021-04-02","2021-08-25","2021-09-16 17:36"
"","希望成功拿到PR","第一次申请，求好运。来新3.5年，澳洲本科 新加坡研究生  单身 月薪7K+  EP  金融业","等待","2021-07-26","null","2021-09-15 23:19"
"","MC","20年8月初申請, 21年2月初要求補交資料, 9月初手按鈕消失不能重新申請, 一星期後查到CPF有ICA ref. 兩天後收到IPA.

申請時30男, MNC工作, 來新兩年,本地大學MASTER","通过","2020-08-01","2021-09-13","2021-09-15 18:56"
"","Wayne","男 国内大专 33 高级网络系统工程师 SP 工作6年 薪水4K 建筑行业","等待","2021-08-17","null","2021-09-15 16:58"
"","四号铁狼","IT行业，单身，EP，来新2年多。国内普通二本。工资7K+","杯具","2020-12-19","null","2021-09-13 14:53"
"","AhBoys2Man","国内985/211 本科，新加坡Top2 硕士， EP工作两年","通过","2021-03-31","2021-09-06","2021-09-12 15:12"
"","Ethan","全家申请，先生SP来新8年没换工作，个人6000+，儿子政府小学就读，我陪读准证。","等待","2021-08-06","2022-12-29","2021-09-12 01:15"
"","xiong","Ep pass 在新加坡 11年
今年刚换工作还是ep pass  
底薪8k
儿子3岁 dp pass 在新加坡读私人学校
太太 -dp pass 家庭主妇","等待","2021-09-10","null","2021-09-12 00:44"
"","Xiaoxiao","国内211，日本国立大学双硕士，来新接近6年，第三次申请，月薪5.2 k","通过","2020-12-12","2021-08-15","2021-09-10 16:41"
"","平平安安顺顺利利","EP，底薪6.5K，马来西亚华人，Degree 毕业生，新加坡工作3年, 期间换过工作，主动提交更新准证资料，希望能够顺利拿到！","等待","2021-04-07","null","2021-09-07 16:53"
"","ss","单身男91年，广东人国内普通本科，来新5年多，IT普通工程师，在新无车无房无存款(工资大部分汇回国)，第一次申请，四个月获批。
PS: 毕业证公证来不及办，我提交了学信网的在线证书,事实证明是可以的!!","通过","2021-04-29","2021-09-06","2021-09-06 12:31"
"","左一","国内985本 nus 硕，EP，月薪4.5K，来新4年","等待","2021-08-13","null","2021-09-06 01:12"
"","Mina113","Account executive/来新5年/马华/spass第3年/单亲妈妈/三个儿子抚养权归爸爸/5年都没换过公司/亲生姐妹都在sg","通过","2021-02-21","2021-09-01","2021-09-04 10:59"
"","biubiu","女ep，单身，28，来新7年，985本nus硕，薪水6k. 8月补交家庭成员资料。","通过","2021-01-29","2021-09-03","2021-09-03 17:51"
"","kk","中国本科，美国博士，来新工作拿EP,不到一年时间申请。之前本科有NUS交换经历。","通过","2020-06-29","2021-02-06","2021-09-03 16:09"
"","UncleGarden","美硕  33  因为疫情在新工作2+年  工资9000k  EP","等待","2021-09-03","null","2021-09-03 15:05"
"","icherry","国内本，海外master，31，来新工作2年+，软件行业，base 8k，额外每月cpf补贴 1k左右","等待","2021-08-25","null","2021-09-01 00:37"
"","小张","理工学院毕业，工作七个月申请，月薪2.5K，建筑行业。
等待八个月，补交一次材料，批准。

祝大家好运","通过","2020-11-23","2021-08-11","2021-08-29 17:21"
"","CYLL","马来西亚LTVP","等待","2021-08-26","null","2021-08-26 13:08"
"","我是龙傲天","公司律师团队帮我写推荐信的，薪资小过万","通过","2021-05-05","2021-08-03","2021-08-25 15:56"
"","xxxxx","Malaysian Chinese 28 years old $3.8k","通过","2020-12-04","2021-08-20","2021-08-24 17:19"
"","LaphinGu","资讯公司工作，第一次申请","通过","2021-03-26","2021-08-05","2021-08-23 07:36"
"","幸运星","马华 30岁 diploma 月薪3k","通过","2020-12-12","2021-08-17","2021-08-22 22:56"
"","sssss","女28，海外硕士学历，申请时base<10K, 来新1年8个月递交. 首次申请pending7月通过，回报社区","通过","2020-12-26","2021-08-10","2021-08-19 01:56"
"","jin","来新两年，EP，IT，月入9500","等待","2021-06-25","null","2021-08-18 17:09"
"","Lucky 2021","国内本科，来新7年，月薪$6100","等待","2021-03-05","null","2021-08-18 16:16"
"","WFynn","男25岁,在新8年,本地poly diploma + 英国本科，医院工作SP月入近4K。","等待","2019-11-28","null","2021-08-18 13:55"
"","LC","大马女，28，月薪2.9k
大马大学文凭，目前在新刚满两年，EP来新半年换工作，第二份工作再隔半年就申请","等待","2020-12-02","null","2021-08-17 12:30"
"","追梦人","EP 来新9年多+2DP，IT和建筑业，家庭收入1万+， 第N次申请，贡献数据，积攒点人品，希望有好的结果。最近通过了，回报社群，等了这么多年，终于等到了。","通过","2021-01-07","2021-08-05","2021-08-15 13:03"
"","Wan nin","担保申请，ltvp在新6年。薪水$3000。","通过","2020-06-25","2021-08-10","2021-08-14 10:11"
"","yiyi","主申请人 中国，31岁，国内top 985 PHD 半导体行业，EP basic 7K+ bonus，2张美国专利，老婆 澳洲master ， 用LOC 工作， 家庭月收入11k+，孩子5岁， PCF 上幼儿园4年。来新4年。之前申请2次都悲剧， 这次等到了5月 孩子小学报名要来不及了 就写信催。6月要求补交家庭材料（经验啊，一定要把父母第一个工作直到退休全部写，兄弟姐妹也是，读书的也要备注学校名字！因为我们写太少了，被要求重写第二次。。） 按钮8月2号消失，cpf 8月12查到，8月13收到ipa信，显示通过是8月11日。但是网站显示还是pending。已经预约，去办最后的formalities。这几天办理体检之类的必备事项。","通过","2020-09-01","2021-08-11","2021-08-13 23:19"
"","FHB","LTVP 中国男已婚 ，来新 5年 ， 新加坡私人大专文凭（国内中专），Gross 薪水 3200-3500 /月(底薪1400/月 )。第4次申请。","等待","2021-05-29","null","2021-08-13 13:55"
"","ddd","来新10年，Olevel，SIM本科，工作3年会计3k+，LTVP老公CITIZEN","等待","2021-01-28","null","2021-08-12 15:13"
"","小琴子","马来西亚/degree holder/EP/在新工作两年后第一次申请/未婚/月入3千 
希望可以好运通过 
更新：7/28申请批准，8/2收到信封，8/6完成PR手续
希望等待的朋友们都能得到好消息！","通过","2020-09-18","2021-07-28","2021-08-12 09:13"
"","LLLLLL","3.2K, PR 4 year, 30 years old","等待","2020-09-07","null","2021-08-11 12:11"
"","XIAo wan","国内211本科。 在新加坡十年。 月薪5.8K. 回馈社区。 pending 近十个月。 大家加油","通过","2020-10-14","2021-08-09","2021-08-10 10:07"
"","so...long...","女，单身，nus博后，16年到新加坡工作。
19年11月申请，申请时32岁。21个多月的等待后，21年8月拿到了approval。
20年8月被要求补交过父母证明材料，交了之后又等待了一年。
确实比较需要耐心。希望大家好运！","通过","2019-11-23","2021-08-02","2021-08-09 23:03"
"","adrian","第一次申请/马来西亚/男/31岁/无学历/SP 3.3k月薪/厨师主管","等待","2021-08-06","null","2021-08-06 20:35"
"","求好运","国内985本 nus硕 工作一年 IT行业 7k+ 单身 求好运","等待","2021-08-03","null","2021-08-03 18:22"
"","laylay","本地sec学生，男，母亲pr，来坡4年,杯具三次","等待","2021-03-10","null","2021-08-03 02:49"
"","好运降临","马来西亚, EP第五个月申请, 24女
23号发现框框不见, 28号收到信件
整整8个月通过, 传递好运给正在等结果的各位!","通过","2020-11-27","2021-07-27","2021-07-30 13:41"
"","希望快点批吧！！！","开心","通过","2020-02-03","null","2021-07-30 08:43"
"","好运连连","老公主申，坡博士，博士后两年，来坡7年。老婆dpr，坡博士生，来坡4年。补交过两次材料。大概是今年年初和4月的样子。","通过","2020-04-10","2021-07-29","2021-07-29 20:45"
"","DAZHAODAZHAO666","单身女，31岁，国内本985，国外硕Top10，月薪12K，EP，来新2年。求好运。","等待","2021-04-11","null","2021-07-29 18:02"
"","nuhangyu","nus phd, 来坡六年，月薪5.5k，最近批的很快","通过","2021-03-11","2021-07-21","2021-07-29 13:23"
"","xxy","男，已婚，个人申请，32岁","通过","2020-10-23","2021-07-16","2021-07-29 12:59"
"","SKIT SKIT SKIT","EP 男/ 28歲/ 馬來西亞籍/台大碩畢/行銷企劃/來新一年半/月薪3k/ 工作一年後申請，一次通過，舒服","通过","2020-09-30","2021-05-10","2021-07-28 09:28"
"","小灰","中国籍，31岁，女，老公新加坡籍，本人EP，国内本欧美硕，IT行业工作，月薪7000+。申请时来新1年。","通过","2020-12-16","2021-07-09","2021-07-26 15:34"
"","盼pr","男，38岁，月入4开头，6月底14年，wp☞SP,part time大专☞目前在读私立大学","等待","2021-06-06","null","2021-07-25 22:30"
"","漂在狮城","夫妻申请，SP+SP，11K， IT行业，在新工作10年+， 6月初收到补充材料的信（双方Payslip+父母简历），提交材料后两周，Upload 消失，一周之后收到IPA的信","通过","2020-08-19","2021-06-29","2021-07-19 14:50"
"","S","Ntu phd，ep 5.5k，工作一年。补交材料后40天通过，回馈社区。","通过","2020-05-28","2021-07-19","2021-07-19 12:55"
"","染冰","2020年10月14日提交申请时状况：30岁，留新12年，NTU本科SMU硕士，工作5年多，未婚，月薪6000。
Update:
1. 2021年2月初换了新工作薪水涨到7200, 9日给ICA写邮件补交了材料。
2. 2021年5月25日深夜收到ICA邮件要求补充父母材料，要求两星期以内上传。
3. 2021年6月7日上传父母资料表格后继续等待。
4. 7月8日在信箱收到ICA的dated Jul 6的申请通过IPA Letter，开始准备最后的手续。","通过","2020-10-14","null","2021-07-12 20:35"
"","Jeremy","O level, poly gold medal，nus 1st class，EP，来新9年。薪水3900，环境行业，两个半月工资单申请。等待整整九个月通过","通过","2020-10-06","2021-07-12","2021-07-12 09:10"
"","拿PR想快点成为公民","条件虽然不理想，但真心想拿到PR。","等待","2020-12-22","null","2021-07-11 17:54"
"","R","27岁，男，马来西亚EP，NTU，月薪6000+,通过感恩","通过","2020-12-15","2021-07-06","2021-07-09 17:01"
"","仙鹤","Poly毕业, SP, 工作六个月申请, 薪水2.2K","等待","2021-07-01","null","2021-07-09 14:37"
